Underkategori
Basic IT verktøy og IT forståelse
Effektiv kommunikasjon
Grunnleggende kjernekompetanser (Core)
Ledelse
Salg/relasjonsbygging
Industri (account perspektiv, TBD)
Compliance & andre emner
Supply Chain
Prossessforbedring
Strategi
Organisasjonsutvikling og Performance Management
Øvrig BST
IM Felles
Datavarehus
Master Data Management
Business Analytics
Business Intelligence
IT-Anskaffelse
IT-Assessment
IT-Strategi
IT-Governance
Change Management
